height,era,current_compact_size,estimated_with_transparent,delta_bytes,delta_percent,tx_count,transparent_inputs,transparent_outputs
3068523,nu6,607,826,219,36.07907742998353,3,2,3
3068596,nu6,91,236,145,159.34065934065933,1,1,2
3068625,nu6,448,593,145,32.36607142857143,2,1,2
3068631,nu6,378,2083,1705,451.058201058201,2,40,2
3068647,nu6,1162,1382,220,18.9328743545611,4,2,3
3068812,nu6,91,382,291,319.7802197802198,2,3,4
3068814,nu6,378,1723,1345,355.8201058201058,2,31,2
3069111,nu6,91,404,313,343.95604395604397,2,2,5
3069176,nu6,2199,5771,3572,162.43747157799,13,75,14
3069203,nu6,1088,1638,550,50.55147058823529,6,6,8
3069388,nu6,91,310,219,240.65934065934064,2,2,3
3069396,nu6,91,236,145,159.34065934065933,1,1,2
3069409,nu6,91,236,145,159.34065934065933,1,1,2
3069449,nu6,91,420,329,361.53846153846155,3,3,5
3069496,nu6,91,236,145,159.34065934065933,1,1,2
3069528,nu6,448,633,185,41.294642857142854,2,2,2
3069600,nu6,91,236,145,159.34065934065933,1,1,2
3069682,nu6,417,820,403,96.64268585131894,4,4,6
3069773,nu6,91,236,145,159.34065934065933,1,1,2
3069787,nu6,805,1397,592,73.54037267080746,6,6,8
3069960,nu6,665,2524,1859,279.54887218045116,7,37,10
3069974,nu6,91,236,145,159.34065934065933,1,1,2
3070232,nu6,91,236,145,159.34065934065933,1,1,2
3070327,nu6,91,456,365,401.0989010989011,3,3,6
3070396,nu6,91,236,145,159.34065934065933,1,1,2
3070447,nu6,378,1843,1465,387.56613756613757,2,34,2
3070553,nu6,91,236,145,159.34065934065933,1,1,2
3070563,nu6,1986,2491,505,25.42799597180262,9,4,9
3070647,nu6,91,236,145,159.34065934065933,1,1,2
3070669,nu6,1084,1229,145,13.376383763837637,2,1,2
3070770,nu6,414,633,219,52.89855072463768,3,2,3
3070832,nu6,91,236,145,159.34065934065933,1,1,2
3070897,nu6,91,344,253,278.021978021978,2,2,4
3070930,nu6,91,236,145,159.34065934065933,1,1,2
3071001,nu6,91,311,220,241.75824175824175,2,2,3
3071062,nu6,91,236,145,159.34065934065933,1,1,2
3071091,nu6,448,753,305,68.08035714285714,2,5,2
3071112,nu6,91,236,145,159.34065934065933,1,1,2
3071352,nu6,91,344,253,278.021978021978,2,2,4
3071477,nu6,766,946,180,23.49869451697128,2,1,3
3071514,nu6,450,2343,1893,420.6666666666667,4,3,51
3071526,nu6,91,310,219,240.65934065934064,2,2,3
3071733,nu6,91,383,292,320.8791208791209,2,3,4
3071843,nu6,448,703,255,56.91964285714286,3,2,4
3071889,nu6,91,236,145,159.34065934065933,1,1,2
3072025,nu6,91,236,145,159.34065934065933,1,1,2
3072043,nu6,91,236,145,159.34065934065933,1,1,2
3072056,nu6,91,503,412,452.74725274725273,2,6,4
3072436,nu6,91,236,145,159.34065934065933,1,1,2
3072549,nu6,91,236,145,159.34065934065933,1,1,2
3072599,nu6,448,667,219,48.88392857142857,3,2,3
3072651,nu6,91,236,145,159.34065934065933,1,1,2
3073074,nu6,91,236,145,159.34065934065933,1,1,2
3073166,nu6,91,236,145,159.34065934065933,1,1,2
3073354,nu6,448,1811,1363,304.24107142857144,4,12,25
3073393,nu6,91,236,145,159.34065934065933,1,1,2
3073473,nu6,91,236,145,159.34065934065933,1,1,2
3073524,nu6,448,593,145,32.36607142857143,2,1,2
3073548,nu6,91,236,145,159.34065934065933,1,1,2
3074121,nu6,91,236,145,159.34065934065933,1,1,2
3074352,nu6,91,382,291,319.7802197802198,2,3,4
3074406,nu6,607,826,219,36.07907742998353,3,2,3
3074434,nu6,91,236,145,159.34065934065933,1,1,2
3074494,nu6,91,1254,1163,1278.0219780219782,5,23,6
3074500,nu6,91,236,145,159.34065934065933,1,1,2
3074717,nu6,91,236,145,159.34065934065933,1,1,2
3074746,nu6,91,236,145,159.34065934065933,1,1,2
3074767,nu6,1202,1603,401,33.36106489184692,6,4,6
3074950,nu6,91,236,145,159.34065934065933,1,1,2
3074983,nu6,91,236,145,159.34065934065933,1,1,2
3074986,nu6,378,894,516,136.5079365079365,6,6,7
3075044,nu6,91,236,145,159.34065934065933,1,1,2
3075093,nu6,378,563,185,48.94179894179894,2,2,2
3075159,nu6,91,236,145,159.34065934065933,1,1,2
3075169,nu6,91,236,145,159.34065934065933,1,1,2
